rank,selector,model,mean_cv_score,std_cv_score,params
148,SFSSelector,KNeighborsClassifier,0.70016,0.00261,"{'model': KNeighborsClassifier(), 'model__metric': 'manhattan', 'model__n_neighbors': 7, 'model__weights': 'uniform', 'selector': SFSSelector(verbose=False), 'selector__cv': 2, 'selector__k': 23, 'selector__max_depth_dt': 10}"
149,MutualInfoSelector,RandomForestClassifier,0.69998,0.00256,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 20, 'model__min_samples_leaf': 4, 'model__n_estimators': 246, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 34}"
150,MutualInfoSelector,KNeighborsClassifier,0.69976,0.0003,"{'model': KNeighborsClassifier(), 'model__leaf_size': 25, 'model__metric': 'manhattan', 'model__n_neighbors': 14, 'model__weights': 'distance', 'selector': MutualInfoSelector(verbose=False), 'selector__k': 34}"
151,ReliefFSelector,RandomForestClassifier,0.69976,0.00958,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 227, 'selector': ReliefFSelector(verbose=False), 'selector__k': 21, 'selector__n_neighbors': 6, 'selector__n_samples': 500}"
152,EmbeddedDTSelector,KNeighborsClassifier,0.69972,0.00118,"{'model': KNeighborsClassifier(), 'model__leaf_size': 21, 'model__metric': 'euclidean', 'model__n_neighbors': 19, 'model__weights': 'distance', 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 18, 'selector__soglia': 0.005}"
153,MutualInfoSelector,AdaBoostClassifier,0.69945,0.00023,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=2), 'model__learning_rate': 0.01, 'model__n_estimators': 143, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 38}"
154,AllFeaturesSelector,RandomForestClassifier,0.69917,0.00233,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 30, 'model__min_samples_leaf': 4, 'model__n_estimators': 251, 'selector': AllFeaturesSelector()}"
155,SFSSelector,AdaBoostClassifier,0.69873,0.00244,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 0.1, 'model__n_estimators': 100, 'selector': SFSSelector(verbose=False), 'selector__cv': 2, 'selector__k': 21, 'selector__max_depth_dt': 11}"
156,MutualInfoSelector,RandomForestClassifier,0.69869,0.00214,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_leaf': 6, 'model__n_estimators': 322, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 37}"
157,AllFeaturesSelector,AdaBoostClassifier,0.69864,0.00066,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 0.05, 'model__n_estimators': 112, 'selector': AllFeaturesSelector()}"
158,EmbeddedDTSelector,KNeighborsClassifier,0.6986,0.00503,"{'model': KNeighborsClassifier(), 'model__leaf_size': 25, 'model__metric': 'manhattan', 'model__n_neighbors': 23, 'model__weights': 'distance', 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 11, 'selector__soglia': 'mean'}"
159,MutualInfoSelector,RandomForestClassifier,0.69857,0.00289,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 20, 'model__min_samples_leaf': 5, 'model__n_estimators': 247, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 25}"
160,AllFeaturesSelector,AdaBoostClassifier,0.69855,0.00093,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 0.1, 'model__n_estimators': 54, 'selector': AllFeaturesSelector()}"
161,SFSSelector,KNeighborsClassifier,0.69772,0.00179,"{'model': KNeighborsClassifier(), 'model__metric': 'manhattan', 'model__n_neighbors': 7, 'model__weights': 'uniform', 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 20, 'selector__max_depth_dt': 11}"
162,EmbeddedDTSelector,AdaBoostClassifier,0.69693,0.00112,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 0.05, 'model__n_estimators': 299, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 13, 'selector__soglia': 0.005}"
163,AllFeaturesSelector,KNeighborsClassifier,0.69689,0.00022,"{'model': KNeighborsClassifier(), 'model__leaf_size': 26, 'model__metric': 'manhattan', 'model__n_neighbors': 9, 'model__weights': 'uniform', 'selector': AllFeaturesSelector()}"
164,SFSSelector,AdaBoostClassifier,0.69626,0.0013,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 0.1, 'model__n_estimators': 134, 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 24, 'selector__max_depth_dt': 5}"
165,SFSSelector,KNeighborsClassifier,0.69614,0.00425,"{'model': KNeighborsClassifier(), 'model__metric': 'euclidean', 'model__n_neighbors': 19, 'model__weights': 'distance', 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 11, 'selector__max_depth_dt': 8}"
166,MutualInfoSelector,AdaBoostClassifier,0.69605,0.00282,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 0.05, 'model__n_estimators': 93, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 27}"
